date,close,source
2020-01-02,3.083672545521807,implied
2020-01-03,3.069018726150177,implied
2020-01-06,3.048000284761892,implied
2020-01-07,3.062703648798009,implied
2020-01-08,3.0342798849272463,implied
2020-01-09,3.057096233397834,implied
2020-01-10,3.0614454426703337,implied
2020-01-13,3.0818597599238866,implied
2020-01-14,3.076326543442868,implied
2020-01-15,3.047247076707843,implied
2020-01-16,3.0362456123538073,implied
2020-01-17,3.049289022453041,implied
2020-01-20,3.0630278297911437,implied
2020-01-21,3.0129977716804333,implied
2020-01-22,3.012741337763358,implied
2020-01-23,2.927670064365485,implied
2020-02-03,2.637445177709609,implied
2020-02-04,2.7699044334221736,implied
2020-02-05,2.7848643788591385,implied
2020-02-06,2.8310456835806557,implied
2020-02-07,2.8325137799781475,implied
2020-02-10,2.8266103547852515,implied
2020-02-11,2.859422820007789,implied
2020-02-12,2.8703800070994427,implied
2020-02-13,2.8583325715540235,implied
2020-02-14,2.8792651194772576,implied
2020-02-17,2.9329577205616815,implied
2020-02-18,2.9096780493430967,implied
2020-02-19,2.9104244712152183,implied
2020-02-20,2.9580832656965157,implied
2020-02-21,2.953171331319816,implied
2020-02-24,2.9087239119519968,implied
2020-02-25,2.896748296909239,implied
2020-02-26,2.8941290955234678,implied
2020-02-27,2.8953681510756635,implied
2020-02-28,2.8116233612584143,implied
2020-03-02,2.8916506383215226,implied
2020-03-03,2.9073850528271037,implied
2020-03-04,2.935056652872574,implied
2020-03-05,2.999633162097725,implied
2020-03-06,2.9517586790864154,implied
2020-03-09,2.84922323702458,implied
2020-03-10,2.9146958192444457,implied
2020-03-11,2.872598487353378,implied
2020-03-12,2.8352373178215236,implied
2020-03-13,2.7935157828456987,implied
2020-03-16,2.6662850124350164,implied
2020-03-17,2.6731392048228373,implied
2020-03-18,2.5948306905287253,implied
2020-03-19,2.566305790683268,implied
2020-03-20,2.606591781993169,implied
2020-03-23,2.538831275655503,implied
2020-03-24,2.620181507928538,implied
2020-03-25,2.6671933750191026,implied
2020-03-26,2.6580323770914296,implied
2020-03-27,2.6759897355064317,implied
2020-03-30,2.6706729712706485,implied
2020-03-31,2.6616108769988402,implied
2020-04-01,2.65224708874264,implied
2020-04-02,2.6987011121070736,implied
2020-04-03,2.6833648474335847,implied
2020-04-07,2.732419322148793,implied
2020-04-08,2.721321158203903,implied
2020-04-09,2.7288399337407543,implied
2020-04-10,2.730343323048621,implied
2020-04-13,2.7197837944437673,implied
2020-04-14,2.760075920334436,implied
2020-04-15,2.7463819625287775,implied
2020-04-16,2.748946318801652,implied
2020-04-17,2.758545427348373,implied
2020-04-20,2.76637737566101,implied
2020-04-21,2.7309443598367333,implied
2020-04-22,2.74952857065729,implied
2020-04-23,2.747254840919638,implied
2020-04-24,2.7402751488754706,implied
2020-04-27,2.764527532435427,implied
2020-04-28,2.7821649652774196,implied
2020-04-29,2.7992061513304547,implied
2020-04-30,2.8290364464680913,implied
2020-05-06,2.82950236567715,implied
2020-05-07,2.822783166474382,implied
2020-05-08,2.845052692220642,implied
2020-05-11,2.849148745008751,implied
2020-05-12,2.8452653004305573,implied
2020-05-13,2.847309854992267,implied
2020-05-14,2.818776754932925,implied
2020-05-15,2.806590329781168,implied
2020-05-18,2.8273076108724875,implied
2020-05-19,2.848426547548464,implied
2020-05-20,2.8470320821136483,implied
2020-05-21,2.8343441722242675,implied
2020-05-22,2.7483825098197574,implied
2020-05-25,2.766454461664331,implied
2020-05-26,2.7818803636573297,implied
2020-05-27,2.7716008720830656,implied
2020-05-28,2.7811756823508507,implied
2020-05-29,2.776379564454177,implied
2020-06-01,2.8417079995910077,implied
2020-06-02,2.8568024295559358,implied
2020-06-03,2.8662695230929374,implied
2020-06-04,2.861635062021277,implied
2020-06-05,2.8780758517901717,implied
2020-06-08,2.885605650745817,implied
2020-06-09,2.9063360007680794,implied
2020-06-10,2.89329878846167,implied
2020-06-11,2.857676399583277,implied
2020-06-12,2.8700627132357734,implied
2020-06-15,2.8228212245664324,implied
2020-06-16,2.871159584854901,implied
2020-06-17,2.8723886062517163,implied
2020-06-18,2.8868991186930515,implied
2020-06-19,2.8988030715084707,implied
2020-06-22,2.9003391222938335,implied
2020-06-23,2.9044649610164326,implied
2020-06-24,2.9347360016058723,implied
2020-06-29,2.9167951215867527,implied
2020-06-30,2.9339318958675507,implied
2020-07-01,3.0091145044687178,implied
2020-07-02,3.0977653386988506,implied
2020-07-03,3.1809627118026116,implied
2020-07-06,3.49458294998034,implied
2020-07-07,3.4105000335609468,implied
2020-07-08,3.4550336461855586,implied
2020-07-09,3.460253017431952,implied
2020-07-10,3.3748404333426696,implied
2020-07-13,3.413657704452781,implied
2020-07-14,3.3787795443597735,implied
2020-07-15,3.350847068448909,implied
2020-07-16,3.1950496875920766,implied
2020-07-17,3.2342814955848325,implied
2020-07-20,3.326186817022761,implied
2020-07-21,3.3237408621972366,implied
2020-07-22,3.3244130548442308,implied
2020-07-23,3.321770061023527,implied
2020-07-24,3.1952613976979403,implied
2020-07-27,3.20662686223773,implied
2020-07-28,3.22311529667094,implied
2020-07-29,3.2905141617180043,implied
2020-07-30,3.275771613272771,implied
2020-07-31,3.2852285341060767,implied
2020-08-03,3.319400842161372,implied
2020-08-04,3.356754429646044,implied
2020-08-05,3.331808976282173,implied
2020-08-06,3.3314009979413037,implied
2020-08-07,3.300926488580466,implied
2020-08-10,3.326431801101552,implied
2020-08-11,3.298187585023357,implied
2020-08-12,3.2878348310166725,implied
2020-08-13,3.2804496617903065,implied
2020-08-14,3.3362525326376673,implied
2020-08-17,3.418933802775111,implied
2020-08-18,3.41296097296124,implied
2020-08-19,3.350018287797444,implied
2020-08-20,3.3103715177050326,implied
2020-08-21,3.330678033760108,implied
2020-08-24,3.3364729922605796,implied
2020-08-25,3.3509148711251147,implied
2020-08-26,3.31339788965482,implied
2020-08-27,3.329706542622492,implied
2020-08-28,3.4127632417236486,implied
2020-08-31,3.3759898173147618,implied
2020-09-01,3.396912658283355,implied
2020-09-02,3.3831815292739877,implied
2020-09-03,3.374200967145074,implied
2020-09-04,3.349630739750432,implied
2020-09-07,3.2839517094251907,implied
2020-09-08,3.3300412029551083,implied
2020-09-09,3.277619971423159,implied
2020-09-10,3.2894418637886296,implied
2020-09-11,3.3091890348069035,implied
2020-09-14,3.3349378839705066,implied
2020-09-15,3.3589923766102228,implied
2020-09-16,3.3385606367821428,implied
2020-09-17,3.308174398470752,implied
2020-09-18,3.3908966569462544,implied
2020-09-21,3.3514778237302827,implied
2020-09-22,3.308004575449372,implied
2020-09-23,3.305583217889782,implied
2020-09-24,3.25727930640903,implied
2020-09-25,3.27239054885908,implied
2020-09-28,3.2945115232434867,implied
2020-09-29,3.293786550566205,implied
2020-09-30,3.265279154828181,implied
2020-10-09,3.3299286214003354,implied
2020-10-12,3.434766049305507,implied
2020-10-13,3.4325572759153946,implied
2020-10-14,3.418377401420173,implied
2020-10-15,3.425812268462007,implied
2020-10-16,3.4302510927322265,implied
2020-10-19,3.4048098798615167,implied
2020-10-20,3.4089980095815138,implied
2020-10-21,3.430486873319545,implied
2020-10-22,3.4178730758191658,implied
2020-10-23,3.404813386568798,implied
2020-10-26,3.3498729853300495,implied
2020-10-27,3.3382603260098938,implied
2020-10-28,3.3607142815428643,implied
2020-10-29,3.380519848865149,implied
2020-10-30,3.323771745896127,implied
2020-11-02,3.3145064865546283,implied
2020-11-03,3.3523575890396904,implied
2020-11-04,3.3749728210415393,implied
2020-11-05,3.4128833580487843,implied
2020-11-06,3.4017724844368273,implied
2020-11-09,3.466278840725562,implied
2020-11-10,3.4618875882002844,implied
2020-11-11,3.4629298761405938,implied
2020-11-12,3.4427893410036767,implied
